
These predictions were generated by MoorDyn (v2.0.02023-09-18) on 15-Feb-2024 at 11:56:22.

 
 
 
      Time        ANCHTEN1        ANCHTEN2        ANCHTEN3        FAIRTEN1        FAIRTEN2        FAIRTEN3
       (s)             (N)             (N)             (N)             (N)             (N)             (N)
    1.8250   1.7829904E+06   1.1920095E+06   1.1759351E+06   2.8080212E+06   2.2835028E+06   2.2804920E+06
    1.8375   1.7833530E+06   1.1916300E+06   1.1777836E+06   2.8099895E+06   2.2822255E+06   2.2797025E+06
    1.8500   1.7815622E+06   1.1923042E+06   1.1810022E+06   2.8100835E+06   2.2820390E+06   2.2801530E+06
    1.8625   1.7776318E+06   1.1940340E+06   1.1855631E+06   2.8082775E+06   2.2829735E+06   2.2818492E+06
    1.8750   1.7716508E+06   1.1967809E+06   1.1913854E+06   2.8046198E+06   2.2850160E+06   2.2847475E+06
    1.8875   1.7637814E+06   1.2004679E+06   1.1983380E+06   2.7992308E+06   2.2881110E+06   2.2887555E+06
    1.9000   1.7542522E+06   1.2049818E+06   1.2062452E+06   2.7922972E+06   2.2921620E+06   2.2937392E+06
    1.9125   1.7433494E+06   1.2101776E+06   1.2148944E+06   2.7840632E+06   2.2970362E+06   2.2995268E+06
    1.9250   1.7314052E+06   1.2158842E+06   1.2240432E+06   2.7748212E+06   2.3025688E+06   2.3059188E+06
    1.9375   1.7187859E+06   1.2219104E+06   1.2334308E+06   2.7648972E+06   2.3085710E+06   2.3126938E+06
    1.9500   1.7058759E+06   1.2280530E+06   1.2427870E+06   2.7546382E+06   2.3148372E+06   2.3196200E+06
    1.9625   1.6930640E+06   1.2341048E+06   1.2518439E+06   2.7443980E+06   2.3211535E+06   2.3264635E+06
    1.9750   1.6807269E+06   1.2398628E+06   1.2603461E+06   2.7345220E+06   2.3273065E+06   2.3329972E+06
    1.9875   1.6692151E+06   1.2451362E+06   1.2680609E+06   2.7253328E+06   2.3330912E+06   2.3390118E+06
    2.0000   1.6588392E+06   1.2497542E+06   1.2747872E+06   2.7171182E+06   2.3383192E+06   2.3443212E+06
    2.0125   1.6498574E+06   1.2535725E+06   1.2803644E+06   2.7101182E+06   2.3428272E+06   2.3487740E+06
    2.0250   1.6424661E+06   1.2564786E+06   1.2846774E+06   2.7045170E+06   2.3464808E+06   2.3522548E+06
    2.0375   1.6367929E+06   1.2583969E+06   1.2876618E+06   2.7004345E+06   2.3491818E+06   2.3546928E+06
    2.0500   1.6328912E+06   1.2592911E+06   1.2893060E+06   2.6979238E+06   2.3508692E+06   2.3560610E+06
    2.0625   1.6307399E+06   1.2591660E+06   1.2896510E+06   2.6969660E+06   2.3515238E+06   2.3563802E+06
    2.0750   1.6302436E+06   1.2580665E+06   1.2887885E+06   2.6974762E+06   2.3511662E+06   2.3557148E+06
    2.0875   1.6312388E+06   1.2560768E+06   1.2868564E+06   2.6993040E+06   2.3498570E+06   2.3541702E+06
    2.1000   1.6334994E+06   1.2533169E+06   1.2840324E+06   2.7022395E+06   2.3476955E+06   2.3518905E+06
    2.1125   1.6367479E+06   1.2499378E+06   1.2805262E+06   2.7060260E+06   2.3448125E+06   2.3490478E+06
    2.1250   1.6406662E+06   1.2461159E+06   1.2765702E+06   2.7103662E+06   2.3413690E+06   2.3458365E+06
    2.1375   1.6449098E+06   1.2420462E+06   1.2724096E+06   2.7149380E+06   2.3375472E+06   2.3424660E+06
    2.1500   1.6491211E+06   1.2379350E+06   1.2682912E+06   2.7194052E+06   2.3335448E+06   2.3391480E+06
    2.1625   1.6529455E+06   1.2339910E+06   1.2644539E+06   2.7234330E+06   2.3295665E+06   2.3360905E+06
    2.1750   1.6560446E+06   1.2304182E+06   1.2611181E+06   2.7267008E+06   2.3258170E+06   2.3334870E+06
    2.1875   1.6581112E+06   1.2274071E+06   1.2584771E+06   2.7289155E+06   2.3224910E+06   2.3315100E+06
    2.2000   1.6588809E+06   1.2251268E+06   1.2566895E+06   2.7298230E+06   2.3197670E+06   2.3303025E+06
    2.2125   1.6581428E+06   1.2237184E+06   1.2558732E+06   2.7292195E+06   2.3177982E+06   2.3299728E+06
    2.2250   1.6557480E+06   1.2232892E+06   1.2561018E+06   2.7269588E+06   2.3167070E+06   2.3305912E+06
    2.2375   1.6516152E+06   1.2239082E+06   1.2574012E+06   2.7229580E+06   2.3165802E+06   2.3321878E+06
    2.2500   1.6457336E+06   1.2256025E+06   1.2597511E+06   2.7172032E+06   2.3174622E+06   2.3347488E+06
    2.2625   1.6381630E+06   1.2283562E+06   1.2630855E+06   2.7097480E+06   2.3193562E+06   2.3382215E+06
    2.2750   1.6290306E+06   1.2321111E+06   1.2672966E+06   2.7007130E+06   2.3222220E+06   2.3425145E+06
    2.2875   1.6185258E+06   1.2367685E+06   1.2722401E+06   2.6902805E+06   2.3259775E+06   2.3475012E+06
    2.3000   1.6068914E+06   1.2421929E+06   1.2777416E+06   2.6786875E+06   2.3305020E+06   2.3530272E+06
    2.3125   1.5944144E+06   1.2482178E+06   1.2836041E+06   2.6662178E+06   2.3356418E+06   2.3589140E+06
    2.3250   1.5814130E+06   1.2546521E+06   1.2896162E+06   2.6531890E+06   2.3412155E+06   2.3649678E+06
    2.3375   1.5682245E+06   1.2612881E+06   1.2955612E+06   2.6399420E+06   2.3470225E+06   2.3709855E+06
    2.3500   1.5551908E+06   1.2679092E+06   1.3012255E+06   2.6268270E+06   2.3528512E+06   2.3767645E+06
    2.3625   1.5426452E+06   1.2742995E+06   1.3064072E+06   2.6141892E+06   2.3584872E+06   2.3821088E+06
    2.3750   1.5308994E+06   1.2802514E+06   1.3109242E+06   2.6023570E+06   2.3637235E+06   2.3868375E+06
    2.3875   1.5202305E+06   1.2855746E+06   1.3146211E+06   2.5916288E+06   2.3683668E+06   2.3907910E+06
    2.4000   1.5108711E+06   1.2901035E+06   1.3173748E+06   2.5822600E+06   2.3722490E+06   2.3938375E+06
    2.4125   1.5030001E+06   1.2937031E+06   1.3190990E+06   2.5744565E+06   2.3752295E+06   2.3958782E+06
    2.4250   1.4967364E+06   1.2962751E+06   1.3197478E+06   2.5683648E+06   2.3772055E+06   2.3968510E+06
    2.4375   1.4921344E+06   1.2977608E+06   1.3193160E+06   2.5640670E+06   2.3781122E+06   2.3967315E+06
    2.4500   1.4891831E+06   1.2981434E+06   1.3178396E+06   2.5615800E+06   2.3779282E+06   2.3955360E+06
    2.4625   1.4878069E+06   1.2974489E+06   1.3153931E+06   2.5608530E+06   2.3766740E+06   2.3933188E+06
    2.4750   1.4878695E+06   1.2957448E+06   1.3120862E+06   2.5617722E+06   2.3744130E+06   2.3901702E+06
    2.4875   1.4891796E+06   1.2931368E+06   1.3080590E+06   2.5641660E+06   2.3712472E+06   2.3862130E+06
    2.5000   1.4914999E+06   1.2897652E+06   1.3034751E+06   2.5678110E+06   2.3673150E+06   2.3815968E+06
