
These predictions were generated by MoorDyn (v2.0.02023-09-18) on 20-Feb-2024 at 12:40:50.

 
 
 
      Time        ANCHTEN1        ANCHTEN2        ANCHTEN3        FAIRTEN1        FAIRTEN2        FAIRTEN3
       (s)             (N)             (N)             (N)             (N)             (N)             (N)
    2.5125   1.4751130E+06   1.2893744E+06   1.3055634E+06   2.5824032E+06   2.3575925E+06   2.3707598E+06
    2.5250   1.4779010E+06   1.2847784E+06   1.2996901E+06   2.5870325E+06   2.3528312E+06   2.3650412E+06
    2.5375   1.4810492E+06   1.2798692E+06   1.2937368E+06   2.5922090E+06   2.3477468E+06   2.3591235E+06
    2.5500   1.4842358E+06   1.2748591E+06   1.2879025E+06   2.5976120E+06   2.3425490E+06   2.3532020E+06
    2.5625   1.4871466E+06   1.2699612E+06   1.2823744E+06   2.6029235E+06   2.3374502E+06   2.3474652E+06
    2.5750   1.4894884E+06   1.2653811E+06   1.2773199E+06   2.6078415E+06   2.3326558E+06   2.3420882E+06
    2.5875   1.4910002E+06   1.2613082E+06   1.2728808E+06   2.6120915E+06   2.3283565E+06   2.3372262E+06
    2.6000   1.4914644E+06   1.2579084E+06   1.2691676E+06   2.6154375E+06   2.3247202E+06   2.3330088E+06
    2.6125   1.4907151E+06   1.2553162E+06   1.2662565E+06   2.6176918E+06   2.3218848E+06   2.3295350E+06
    2.6250   1.4886454E+06   1.2536304E+06   1.2641866E+06   2.6187208E+06   2.3199525E+06   2.3268728E+06
    2.6375   1.4852106E+06   1.2529089E+06   1.2629592E+06   2.6184515E+06   2.3189860E+06   2.3250535E+06
    2.6500   1.4804311E+06   1.2531666E+06   1.2625388E+06   2.6168725E+06   2.3190055E+06   2.3240748E+06
    2.6625   1.4743909E+06   1.2543751E+06   1.2628546E+06   2.6140348E+06   2.3199882E+06   2.3238995E+06
    2.6750   1.4672341E+06   1.2564631E+06   1.2638052E+06   2.6100482E+06   2.3218688E+06   2.3244592E+06
    2.6875   1.4591598E+06   1.2593202E+06   1.2652619E+06   2.6050782E+06   2.3245428E+06   2.3256565E+06
    2.7000   1.4504128E+06   1.2628012E+06   1.2670745E+06   2.5993362E+06   2.3278715E+06   2.3273695E+06
    2.7125   1.4412749E+06   1.2667318E+06   1.2690785E+06   2.5930722E+06   2.3316872E+06   2.3294575E+06
    2.7250   1.4320535E+06   1.2709168E+06   1.2711006E+06   2.5865645E+06   2.3358008E+06   2.3317660E+06
    2.7375   1.4230689E+06   1.2751476E+06   1.2729666E+06   2.5801068E+06   2.3400095E+06   2.3341335E+06
    2.7500   1.4146419E+06   1.2792119E+06   1.2745076E+06   2.5739968E+06   2.3441062E+06   2.3363970E+06
    2.7625   1.4070814E+06   1.2829012E+06   1.2755671E+06   2.5685250E+06   2.3478875E+06   2.3383992E+06
    2.7750   1.4006720E+06   1.2860214E+06   1.2760066E+06   2.5639610E+06   2.3511618E+06   2.3399940E+06
