
These predictions were generated by MoorDyn (v2.0.02022-12-08) on 20-Sep-2023 at 07:59:09.

 
 
 
      Time        FAIRTEN1        FAIRTEN2        FAIRTEN3
       (s)             (N)             (N)             (N)
    2.0600   3.3318868E+06   3.0836478E+06   3.1757088E+06
    2.0700   3.3318868E+06   3.0836478E+06   3.1757088E+06
    2.0800   3.3318868E+06   3.0836480E+06   3.1757085E+06
    2.0900   3.3318868E+06   3.0836480E+06   3.1757082E+06
    2.1000   3.3318870E+06   3.0836482E+06   3.1757082E+06
    2.1100   3.3318870E+06   3.0836482E+06   3.1757080E+06
    2.1200   3.3318870E+06   3.0836485E+06   3.1757078E+06
    2.1300   3.3318870E+06   3.0836485E+06   3.1757078E+06
    2.1400   3.3318870E+06   3.0836485E+06   3.1757078E+06
    2.1500   3.3318870E+06   3.0836488E+06   3.1757075E+06
    2.1600   3.3318870E+06   3.0836488E+06   3.1757075E+06
    2.1700   3.3318870E+06   3.0836488E+06   3.1757075E+06
    2.1800   3.3318870E+06   3.0836488E+06   3.1757078E+06
    2.1900   3.3318868E+06   3.0836488E+06   3.1757078E+06
    2.2000   3.3318868E+06   3.0836488E+06   3.1757080E+06
    2.2100   3.3318865E+06   3.0836488E+06   3.1757082E+06
    2.2200   3.3318865E+06   3.0836485E+06   3.1757082E+06
    2.2300   3.3318862E+06   3.0836485E+06   3.1757085E+06
    2.2400   3.3318862E+06   3.0836485E+06   3.1757088E+06
    2.2500   3.3318860E+06   3.0836485E+06   3.1757090E+06
    2.2600   3.3318858E+06   3.0836485E+06   3.1757090E+06
    2.2700   3.3318858E+06   3.0836482E+06   3.1757092E+06
    2.2800   3.3318858E+06   3.0836482E+06   3.1757095E+06
    2.2900   3.3318855E+06   3.0836482E+06   3.1757095E+06
    2.3000   3.3318855E+06   3.0836482E+06   3.1757095E+06
    2.3100   3.3318855E+06   3.0836485E+06   3.1757095E+06
    2.3200   3.3318855E+06   3.0836485E+06   3.1757095E+06
